JUGADORES;hola;quetal;
REGLAS;ReglaAzarReglaAzar;ReglaAzarReglaAzar;
Cartas jugadas;1600;1840;
Cartas robadas;817;644;
Cartas +4 jugadas;85;24;
Cartas +2 jugadas;186;103;
Cartas Cambio de Sentido jugadas;188;129;
Cartas Quitar Turno jugadas;105;184;
Veces que ha cantado UNO;213;109;
Veces que ha ganado;63;37;

Ganador de todas las partidas;hola;
