JUGADORES;Jugador1;Jugador2;Jugador3;Jugador4;
REGLAS;ReglaAzar;ReglaAzar;ReglaAzar;ReglaAzar;
Cartas jugadas;10538;11523;11310;10813;
Cartas robadas;3863;3140;3407;3740;
Cartas +4 jugadas;641;276;316;303;
Cartas +2 jugadas;1286;881;792;1084;
Cartas Cambio de Sentido jugadas;1149;942;764;854;
Cartas Quitar Turno jugadas;921;1036;866;860;
Veces que ha cantado UNO;1079;682;842;850;
Veces que ha ganado;298;190;237;275;

Ganador de todas las partidas;Jugador1;
