"JUGADORES";"Jugador 0";"Jugador 1"
"REGLAS";"ReglaAzar";"ReglaAzar"
"CARTAS JUGADAS";"211";"216"
"CARTAS ROBADAS";"158";"164"
"CARTAS +4";"10";"11"
"CARTAS +2";"13";"16"
"CARTAS CAMBIO DE SENTIDO";"17";"12"
"CARTAS QUITAR TURNO";"15";"22"
"CARTAS CAMBIA COLOR";"10";"11"
"VECES QUE HA INTENTADO HACER TRAMPA";"0";"0"
"VECES QUE CANTA UNO";"21";"12"
"VECES QUE HA GANADO";"6";"6"

"GANADORES DE LAS PARTIDAS";"Jugador 0";"Jugador 1"
