JUGADORES;a;b;
REGLAS;ReglaAzar;ReglaAzar;
Cartas jugadas;196;235;
Cartas robadas;77;58;
Cartas +4 jugadas;10;1;
Cartas +2 jugadas;31;7;
Cartas Cambio de Sentido jugadas;34;6;
Cartas Quitar Turno jugadas;7;33;
Veces que ha cantado UNO;37;14;
Veces que ha ganado;16;4;

Ganador de todas las partidas;a;
