JUGADORES;Jugador1;Jugador2;Jugador3;Jugador4;
Cartas jugadas;989;1068;1059;1019;
Cartas robadas;340;295;317;347;
Cartas +4 jugadas;57;24;34;27;
Cartas +2 jugadas;114;78;67;96;
Cartas Cambio de Sentido jugadas;99;91;63;104;
Cartas Quitar Turno jugadas;89;107;82;98;
Veces que ha cantado UNO;93;69;84;80;
Veces que ha ganado;30;20;26;24;

Ganador de todas las partidas;Jugador1;
